State,EV,EV,EV,Total Vote,C,T,J,Margin,% Margin,Clinton,Trump,Johnson,Other,Clinton,Trump,Johnson,Other
North Carolina,15,0,0,4741564,2,1,3,173315,0.0366, 46.17%, 49.83%, 2.74%, 1.25%,2189316,2362631,130126," 59,491"
North Dakota,3,0,0,344360,2,1,3,123036,0.3573, 27.23%, 62.96%, 6.22%, 3.59%,93758,216794,21434," 12,374"
Ohio,18,0,0,5536547,2,1,3,446837,0.0807, 43.24%, 51.31%, 3.15%, 2.29%,2394169,2841006,174498," 126,874"
Oklahoma,7,0,0,1452992,2,1,3,528761,0.3639, 28.93%, 65.32%, 5.75%, 0.00%,420375,949136,83481, 0
Oregon,0,7,0,2001336,1,2,3,219703,0.1098, 50.07%, 39.09%, 4.71%, 6.13%,1002106,782403,94231," 122,596"
Pennsylvania,20,0,0,6166729,2,1,3,44292,0.0072, 47.46%, 48.17%, 2.38%, 1.99%,2926441,2970733,146715," 122,840"
Rhode Island,0,4,0,464144,1,2,3,71982,0.1551, 54.41%, 38.90%, 3.18%, 3.52%,252525,180543,14746," 16,330"
South Carolina,9,0,0,2103027,2,1,3,300016,0.1427, 40.67%, 54.94%, 2.34%, 2.05%,855373,1155389,49204," 43,061"
South Dakota,3,0,0,370093,2,1,3,110263,0.2979, 31.74%, 61.53%, 5.63%, 1.10%,117458,227721,20850," 4,064"
Tennessee,11,0,0,2508027,2,1,3,652230,0.2601, 34.72%, 60.72%, 2.81%, 1.75%,870695,1522925,70397," 44,010"
Texas,36,0,2,8993166,2,1,3,807179,0.0898, 43.12%, 52.10%, 3.15%, 1.63%,3877868,4685047,283492," 146,759"
Utah,6,0,0,1143601,2,1,4,204555,0.1789, 27.17%, 45.05%, 3.46%, 24.32%,310676,515231,39608," 278,086"
Vermont,0,3,0,315067,1,2,4,83204,0.2641, 56.68%, 30.27%, 3.20%, 9.85%,178573,95369,10078," 31,047"
Virginia,0,13,0,3982752,1,2,3,212030,0.0532, 49.75%, 44.43%, 2.97%, 2.85%,1981473,1769443,118274," 113,562"
Washington,0,8,4,3316996,1,2,3,520971,0.1571, 52.54%, 36.83%, 4.85%, 5.78%,1742718,1221747,160879," 191,652"
West Virginia,5,0,0,721233,2,1,3,300577,0.4168, 26.18%, 67.85%, 3.19%, 2.78%,188794,489371,23004," 20,064"
Wisconsin,10,0,0,2976150,2,1,3,22748,0.0076, 46.45%, 47.22%, 3.58%, 2.74%,1382536,1405284,106674," 81,656"
Wyoming,3,0,0,255849,2,1,3,118446,0.463, 21.88%, 68.17%, 5.19%, 4.76%,55973,174419,13287," 12,170"
